	ta	tb	xa_lon	xa_lat	xb_lon	xb_lat	n	distance	duration	table_name	xa	xb	ia	ib	twa	twb	iv	iv_ta	iv_tb
7043	2016-05-01 18:26:30	2016-05-01 18:35:10	-73.98209381103516	40.76240921020508	-73.9793701171875	40.76166915893555	1	2011.675	520.0	yellow_tripdata_2016-05	(40.76240921020508, -73.98209381103516)	(40.76166915893555, -73.9793701171875)	4784141040	27166	(Timestamp('2016-05-01 18:24:30'), Timestamp('2016-05-01 18:31:30'))	(Timestamp('2016-05-01 18:24:30'), Timestamp('2016-05-01 18:45:10'))	67.0	2016-05-01 18:24:29.374715	2016-05-01 18:26:57
2007	2016-05-01 18:26:41	2016-05-01 18:31:51	-73.98524475097656	40.75349426269531	-73.99554443359375	40.754638671875	1	1287.472	310.0	yellow_tripdata_2016-05	(40.75349426269531, -73.98524475097656)	(40.754638671875, -73.99554443359375)	3494	8288270454	(Timestamp('2016-05-01 18:24:41'), Timestamp('2016-05-01 18:31:41'))	(Timestamp('2016-05-01 18:24:41'), Timestamp('2016-05-01 18:41:51'))	58.0	2016-05-01 18:26:48.518914	2016-05-01 18:29:43
9039	2016-05-01 18:26:42	2016-05-01 18:30:52	-73.98674774169923	40.7664794921875	-73.98574829101561	40.75886917114258	1	1174.8182	250.00000000000003	yellow_tripdata_2016-05	(40.7664794921875, -73.98674774169923)	(40.75886917114258, -73.98574829101561)	9876	5522182776	(Timestamp('2016-05-01 18:24:42'), Timestamp('2016-05-01 18:31:42'))	(Timestamp('2016-05-01 18:24:42'), Timestamp('2016-05-01 18:40:52'))	73.0	2016-05-01 18:30:30.031947	2016-05-01 18:35:19
2078	2016-05-01 18:26:48	2016-05-01 18:30:56	-73.97686004638672	40.75900650024414	-73.9775390625	40.75384140014648	1	643.736	248.00000000000003	yellow_tripdata_2016-05	(40.75900650024414, -73.97686004638672)	(40.75384140014648, -73.9775390625)	27213	11276	(Timestamp('2016-05-01 18:24:48'), Timestamp('2016-05-01 18:31:48'))	(Timestamp('2016-05-01 18:24:48'), Timestamp('2016-05-01 18:40:56'))	71.0	2016-05-01 18:24:47.985525	2016-05-01 18:25:23
4980	2016-05-01 18:26:57	2016-05-01 18:41:39	-73.97852325439453	40.756881713867195	-73.98629760742188	40.76068878173828	1	1013.8842	882.0	yellow_tripdata_2016-05	(40.756881713867195, -73.97852325439453)	(40.76068878173828, -73.98629760742188)	27047	6786	(Timestamp('2016-05-01 18:24:57'), Timestamp('2016-05-01 18:31:57'))	(Timestamp('2016-05-01 18:24:57'), Timestamp('2016-05-01 18:51:39'))	62.0	2016-05-01 18:26:46.592177	2016-05-01 18:30:31
5557	2016-05-01 18:26:57	2016-05-01 18:31:16	-73.98833465576173	40.76437377929688	-73.99236297607422	40.758975982666016	1	643.736	259.0	yellow_tripdata_2016-05	(40.76437377929688, -73.98833465576173)	(40.758975982666016, -73.99236297607422)	25267	7872	(Timestamp('2016-05-01 18:24:57'), Timestamp('2016-05-01 18:31:57'))	(Timestamp('2016-05-01 18:24:57'), Timestamp('2016-05-01 18:41:16'))	66.0	2016-05-01 18:31:29.516271	2016-05-01 18:35:30
5427	2016-05-01 18:26:58	2016-05-01 18:29:51	-73.98773956298828	40.756324768066406	-73.99071502685547	40.75074768066406	1	692.0161999999999	173.0	yellow_tripdata_2016-05	(40.756324768066406, -73.98773956298828)	(40.75074768066406, -73.99071502685547)	30007	37531	(Timestamp('2016-05-01 18:24:58'), Timestamp('2016-05-01 18:31:58'))	(Timestamp('2016-05-01 18:24:58'), Timestamp('2016-05-01 18:39:51'))	74.0	2016-05-01 18:29:24.067146	2016-05-01 18:30:00
6813	2016-05-01 18:26:59	2016-05-01 18:31:45	-73.99059295654298	40.75623321533203	-73.98334503173827	40.76442337036133	1	1126.5379999999998	286.0	yellow_tripdata_2016-05	(40.75623321533203, -73.99059295654298)	(40.76442337036133, -73.98334503173827)	6723	24878	(Timestamp('2016-05-01 18:24:59'), Timestamp('2016-05-01 18:31:59'))	(Timestamp('2016-05-01 18:24:59'), Timestamp('2016-05-01 18:41:45'))	52.0	2016-05-01 18:24:58.100154	2016-05-01 18:27:25
4984	2016-05-01 18:27:14	2016-05-01 18:30:27	-73.9854965209961	40.75280380249024	-73.99134826660156	40.75032043457031	1	643.736	193.0	yellow_tripdata_2016-05	(40.75280380249024, -73.9854965209961)	(40.75032043457031, -73.99134826660156)	3484	26308	(Timestamp('2016-05-01 18:25:14'), Timestamp('2016-05-01 18:32:14'))	(Timestamp('2016-05-01 18:25:14'), Timestamp('2016-05-01 18:40:27'))	72.0	2016-05-01 18:25:17.412595	2016-05-01 18:26:31
4977	2016-05-01 18:27:32	2016-05-01 18:42:36	-73.97560119628906	40.760356903076165	-73.98789215087889	40.75946807861328	1	1544.9663999999998	904.0	yellow_tripdata_2016-05	(40.760356903076165, -73.97560119628906)	(40.75946807861328, -73.98789215087889)	3977886248	2639531757	(Timestamp('2016-05-01 18:25:32'), Timestamp('2016-05-01 18:32:32'))	(Timestamp('2016-05-01 18:25:32'), Timestamp('2016-05-01 18:52:36'))	53.0	2016-05-01 18:32:27.304466	2016-05-01 18:35:30
1230	2016-05-01 18:27:34	2016-05-01 18:30:28	-73.98432922363281	40.7546501159668	-73.98944854736328	40.75722885131836	1	514.9888	174.0	yellow_tripdata_2016-05	(40.7546501159668, -73.98432922363281)	(40.75722885131836, -73.98944854736328)	3517	6760	(Timestamp('2016-05-01 18:25:34'), Timestamp('2016-05-01 18:32:34'))	(Timestamp('2016-05-01 18:25:34'), Timestamp('2016-05-01 18:40:28'))	45.0	2016-05-01 18:32:16.160372	2016-05-01 18:34:40
5914	2016-05-01 18:27:38	2016-05-01 18:31:08	-73.99575805664062	40.759159088134766	-73.98894500732422	40.75691223144531	1	643.736	210.0	yellow_tripdata_2016-05	(40.759159088134766, -73.99575805664062)	(40.75691223144531, -73.98894500732422)	7883	6756	(Timestamp('2016-05-01 18:25:38'), Timestamp('2016-05-01 18:32:38'))	(Timestamp('2016-05-01 18:25:38'), Timestamp('2016-05-01 18:41:08'))	74.0	2016-05-01 18:25:37.270881	2016-05-01 18:28:59
9501	2016-05-01 18:27:39	2016-05-01 18:34:39	-73.98394012451173	40.76202392578125	-73.97779846191406	40.753803253173835	1	1448.406	420.0	yellow_tripdata_2016-05	(40.76202392578125, -73.98394012451173)	(40.753803253173835, -73.97779846191406)	23207	11275	(Timestamp('2016-05-01 18:25:39'), Timestamp('2016-05-01 18:32:39'))	(Timestamp('2016-05-01 18:25:39'), Timestamp('2016-05-01 18:44:39'))	60.0	2016-05-01 18:25:38.971915	2016-05-01 18:28:59
4716	2016-05-01 18:27:53	2016-05-01 18:32:43	-73.97714996337889	40.76087951660156	-73.98508453369139	40.76105117797852	1	965.6039999999999	290.0	yellow_tripdata_2016-05	(40.76087951660156, -73.97714996337889)	(40.76105117797852, -73.98508453369139)	27161	8704367785	(Timestamp('2016-05-01 18:25:53'), Timestamp('2016-05-01 18:32:53'))	(Timestamp('2016-05-01 18:25:53'), Timestamp('2016-05-01 18:42:43'))	33.0	2016-05-01 18:25:52.084400	2016-05-01 18:26:56
5185	2016-05-01 18:27:57	2016-05-01 18:35:35	-73.97740173339844	40.75205993652344	-73.9844970703125	40.75925064086913	1	1593.2466	458.00000000000006	yellow_tripdata_2016-05	(40.75205993652344, -73.97740173339844)	(40.75925064086913, -73.9844970703125)	19319	2435108464	(Timestamp('2016-05-01 18:25:57'), Timestamp('2016-05-01 18:32:57'))	(Timestamp('2016-05-01 18:25:57'), Timestamp('2016-05-01 18:45:35'))	43.0	2016-05-01 18:25:56.549092	2016-05-01 18:30:06
